"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Semana,"Presupuesto de la campaña","Tipo de presupuesto de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)","Tipo de resultado",Resultados,"Coste por resultado",Application,"All Leads",Alcance,Impresiones,"Clics en el enlace","CTR (porcentaje de clics en el enlace)","CPC (Coste por clic en el enlace)","CPM (coste por 1000 impresiones)","Reproducciones de vídeo",ThruPlays,"Coste por ThruPlay","ThruPlay / Video Plays Conversion Rate","Reproducciones de vídeo de 3 segundos","Coste por reproducción de video de 3 segundos","Reproducciones de vídeo hasta el 50 %","Visitas a la página de destino","Porcentaje de visitas a la página de destino por clics en el enlace","Coste por visita a la página de destino","Landing page views / Link clicks Conversion Rate","Inicio del informe","Fin del informe"
RMTEU_Germany_Global_Meta_Prospecting_EN_CBO_BG,Prospecting_LLA_BST_2_QApps_5_Apps_2_Rica1_StepByStep,Video_AllPlacements_Static,"2025-03-26 - 2025-03-30","Con el presupuesto del conjunto de anuncios",,1,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
RMTEU_Germany_Global_Meta_Conversion_EN_ABO,"LAA - BST 1-2% - Elsa Extra",BG_AllCourses_EN_Prospecting_AllPlacements_Video_ElsaExtra,"2025-03-26 - 2025-03-30","Con el presupuesto del conjunto de anuncios",,10,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign  Campaign","RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign  Ad set","AISchool_AIProducts - Copy","2025-03-26 - 2025-03-30","Con el presupuesto del conjunto de anuncios",,357,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
RMTEU_Germany_Global_Meta_Prospecting_ML_EN_CBO,Prospecting_LLA_Apps_QApps1to2_240827,Video_AllPlacements_Static_Elsa,"2025-03-26 - 2025-03-30",68,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
RMTEU_Germany_Global_Meta_Prospecting_ML_EN_CBO,Prospecting_FBAudience_Interests,Video_AllPlacements_Static_Marta,"2025-03-26 - 2025-03-30",3500,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
RMTEU_Germany_Global_Meta_Conversion_AISchool,"LAA - Videos",AISchool_UISkills,"2025-03-26 - 2025-03-30",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_LLA_Interests,Image_01_LastCall,"2025-03-26 - 2025-03-30",38,Diario,"Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
RMTEU_Germany_Global_Meta_Prospecting_1Year_DF_EN_CBO,Prospecting_LLA2_QApps_en,01_Video_v4_1,"2025-03-26 - 2025-03-30","Con el presupuesto del conjunto de anuncios",,70,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
RMTEU_Germany_Global_Conversion_Leads__EN,"JS - Lead Generation - Audience #2 - Copy","New Conversions Ad - Copy 2","2025-03-26 - 2025-03-30","Con el presupuesto del conjunto de anuncios",,350,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
"RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign  Campaign","RMTEU_Germany_Global_Meta_Conversion_AISchool_AdvantageShopping Campaign  Ad set",AISchool_AIProducts,"2025-03-26 - 2025-03-30","Con el presupuesto del conjunto de anuncios",,357,"Toda la campaña",0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
RMTEU_Germany_Global_Meta_Prospecting_AI_EN_CBO,Prospecting_FBAudience_Interests_ComputerScience,Video_AllPlacements_Static_Charlie_Long,"2025-03-26 - 2025-03-30",3950,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Prospecting - Banners",AISchool_AIProducts,"2025-03-26 - 2025-03-30",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
RMTEU_Germany_Global_Meta_Conversion_AISchool,"Prospecting - Banners",AISchool_Data,"2025-03-26 - 2025-03-30",1050,"Toda la campaña","Con el presupuesto de la campaña",,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
RMTEU_Germany_Global_Meta_Conversion_EN,"LLA 5-10% - 1.2M","Ad1 - Copy","2025-03-26 - 2025-03-30","Con el presupuesto del conjunto de anuncios",,64,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
"RMTEU_Germany_Global_Meta_Prospecting_EN_ABO_TAP - NO",Prospecting_LLA_BST_2,AllPlacements_Static,"2025-03-26 - 2025-03-30","Con el presupuesto del conjunto de anuncios",,23,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
RMTEU_Germany_Global_Meta_Prospecting_EN_ABO_Tech,10_Prospecting_LLA_BST_BCAS,08_Video_BCAS,"2025-03-26 - 2025-03-30","Con el presupuesto del conjunto de anuncios",,96,Diario,0,,,,,,0,0,,,,,,,,,,,,,0,,,2025-03-26,2025-03-30
